Date,BIRD ID,Weight
04/01/2010,4H-39158,47.1
04/01/2010,4H-48983,49
04/01/2010,4H-39154,44.8
05/01/2010,4H-48953,46.1
05/01/2010,4H-48772,
05/01/2010,4H-48745,
05/01/2010,4H-39196,45.6
05/01/2010,4H-48746,
05/01/2010,4H-48952,
06/01/2010,4H-48919,43.5
06/01/2010,4H-39150,46.1
06/01/2010,4H-48977,46.5
06/01/2010,4H-48755,44
06/01/2010,4H-48963,44.8
06/01/2010,4H-39149,45.8
06/01/2010,4H-48932,45.7
06/01/2010,4H-48713,46
06/01/2010,4H-48837,43.2
09/01/2010,4H-48998,47.6
09/01/2010,4H-39136,47.7
09/01/2010,4H-48912,48.2
09/01/2010,4H-48735,43.2
09/01/2010,4H-48957,46
09/01/2010,4H-48750,42
09/01/2010,4H-39197,45.5
09/01/2010,4H-48972,45.3
09/01/2010,4H-48714,43
11/01/2010,4H-48852,
10/01/2010,4H-48966,41.3
12/01/2010,4H-48848,48.2
12/01/2010,4H-48992,45.8
12/01/2010,4H-48745,44.4
12/01/2010,4H-39179,46.8
12/01/2010,4H-48953,45.5
12/01/2010,4H-48746,43.2
14/01/2010,4H-48728,45
14/01/2010,4H-48744,47.8
14/01/2010,4H-48843,41.5
14/01/2010,4H-48962,41.4
14/01/2010,4H-39159,45.5
15/01/2010,4H-39168,49
15/01/2010,4H-48717,44
15/01/2010,4H-48951,43.4
15/01/2010,4H-48746,41.7
15/01/2010,4H-39132,45.6
15/01/2010,4H-48950,49.7
15/01/2010,4H-39181,47.2
16/01/2010,4H-48805,47
16/01/2010,4H-48988,41.5
16/01/2010,4H-48989,44.9
16/01/2010,4H-48756,46.6
16/01/2010,4H-48915,46.4
15/01/2010,4H-48808,41.2
16/01/2010,4H-48987,48.6
16/01/2010,4H-48796,44.2
17/01/2010,4H-48831,44.2
17/01/2010,4H-48833,48.1
17/01/2010,4H-48778,42.5
17/01/2010,4H-39172,41.6
17/01/2010,4H-39156,51.1
17/01/2010,4H-48832,47.3
19/01/2010,4H-48837,43.4
19/01/2010,4H-48865,33.8
19/01/2010,4H-48932,44.6
19/01/2010,4H-39149,44.6
19/01/2010,4H-48963,42.9
20/01/2010,4H-48992,43.9
20/01/2010,4H-48927,47.1
20/01/2010,4H-48755,46
20/01/2010,4H-48978,44.9
20/01/2010,4H-48919,43.8
20/01/2010,4H-39150,45
23/01/2010,4H-48979,46.4
23/01/2010,4H-48718,51
23/01/2010,4H-48726,49.2
23/01/2010,4H-48742,46
23/01/2010,4H-48719,47.6
23/01/2010,4H-48902,45.5
23/01/2010,4H-39140,51
23/01/2010,4H-48876,41
23/01/2010,4H-48945,43.7
24/01/2010,4H-48708,47.8
24/01/2010,4H-39182,51.6
24/01/2010,4H-48967,52.2
24/01/2010,4H-48739,44.3
24/01/2010,4H-48871,45.1
24/01/2010,4H-48985,45.7
26/01/2010,4H-48852,46.6
29/01/2010,4H-48856,
29/01/2010,4H-48767,45.2
26/01/2010,4H-48856,45.3
26/01/2010,4H-48768,27.9
26/01/2010,4H-48767,45.1
29/01/2010,4H-48852,
30/01/2010,4H-48912,47.3
30/01/2010,4H-48938,44.5
30/01/2010,4H-39154,44.6
30/01/2010,4H-48955,46.7
30/01/2010,4H-48946,43.8
30/01/2010,4H-48850,40.7
30/01/2010,4H-39145,46.8
30/01/2010,4H-48773,45.1
30/01/2010,4H-48904,48.8
31/01/2010,4H-48740,44.2
31/01/2010,4H-48732,40.4
31/01/2010,4H-48849,42.8
31/01/2010,4H-48943,46.4
31/01/2010,4H-48930,45.6
31/01/2010,4H-39153,42.1
31/01/2010,4H-48771,42.1
31/01/2010,4H-39194,45.1
31/01/2010,4H-48733,44.7
31/01/2010,4H-48826,46.4
31/01/2010,4H-54905,45.8
31/01/2010,4H-54906,43.7
04/02/2010,4H-48948,43.7
04/02/2010,4H-48765,44.1
04/02/2010,4H-48706,44.2
04/02/2010,4H-48840,44.5
04/02/2010,4H-48834,47
04/02/2010,4H-48993,47.1
04/02/2010,4H-48769,42.8
04/02/2010,4H-48753,47.2
05/02/2010,4H-39154,45.2
05/02/2010,4H-48955,44.4
06/02/2010,4H-39180,42.2
05/02/2010,4H-48995,
05/02/2010,4H-39160,45.5
06/02/2010,4H-48732,39.5
06/02/2010,4H-48807,41.9
06/02/2010,4H-48733,44.6
05/02/2010,4H-39170,43.8
05/02/2010,4H-54951,45.6
05/02/2010,4H-48938,43
06/02/2010,4H-48959,43.7
06/02/2010,4H-48740,43.5
06/02/2010,4H-39194,43.7
07/02/2010,4H-48771,39.9
07/02/2010,4H-39153,47.2
07/02/2010,4H-48826,45.8
10/02/2010,4H-48753,46.5
10/02/2010,4H-48769,43.6
10/02/2010,4H-48926,39.4
13/02/2010,4H-48902,42.3
13/02/2010,4H-48974,44.7
13/02/2010,4H-48719,47.3
13/02/2010,4H-48714,43.5
13/02/2010,4H-48972,45.6
13/02/2010,4H-39197,44.7
13/02/2010,4H-48735,41.5
13/02/2010,4H-39136,45.3
13/02/2010,4H-39185,42.2
14/02/2010,4H-48993,45.3
14/02/2010,4H-48721,43.5
14/02/2010,4H-48840,43
14/02/2010,4H-48765,42.8
14/02/2010,4H-48948,41.4
14/02/2010,4H-48706,42.1
14/02/2010,4H-48834,44.4
15/02/2010,4H-48708,42.2
15/02/2010,4H-39176,38.4
19/02/2010,4H-48744,48.5
19/02/2010,4H-48962,45.2
19/02/2010,4H-39159,48.3
19/02/2010,4H-48921,42.1
20/02/2010,4H-48971,50.7
20/02/2010,4H-39178,44.9
20/02/2010,4H-48851,43.5
20/02/2010,4H-48747,40
21/02/2010,4H-39185,41.8
21/02/2010,4H-39136,45
22/02/2010,4H-48934,47.4
22/02/2010,4H-48778,45.4
22/02/2010,4H-48994,43.7
22/02/2010,4H-39156,52.5
22/02/2010,4H-48833,52
22/02/2010,4H-48832,50.1
24/02/2010,4H-48985,43.8
24/02/2010,4H-48967,49.4
24/02/2010,4H-48739,42.9
24/02/2010,4H-48825,42.4
